model,precision_stroke,recall_stroke,f1_stroke,roc_auc,accuracy
LR Baseline,1.0,0.02,0.0392156862745098,0.8394238683127573,0.952054794520548
LR L1 (C=0.1),0.0,0.0,0.0,0.8391769547325103,0.9510763209393346
LR L2 (C=0.1),1.0,0.02,0.0392156862745098,0.8386213991769548,0.952054794520548
